-3768.06002689502,-3765.46729506817,-3763.19026191934,-3761.23710325765,-3759.61439362291,-3758.32683380265,-3757.37669160333,-3756.76307188446,-3756.48115384034,-3756.52153443731,-3756.86979874311,-3757.50640545841,-3758.40693573692,-3759.54271192741,-3760.88175557647,-3762.39002428204,-3764.03284607231,-3765.77645747774,-3767.58954605469,-3769.44469839643,-3771.31965970513,-3773.19832048635,-3775.07136000032,-3776.93649485329,-3778.79830418964,-3780.66762928799,-3782.56057322997,-3784.49715350484,-3786.49968466786,-3788.59098744672,-3790.79253337096,-3793.12263895827,-3795.59482008996,-3798.21640530322,-3800.98748680897,-3803.90026138077,-3806.93878209242,-3810.079109404,-3813.28982018275,-3816.53280993848,-3819.7643102117,-3822.93604163104,-3825.99643350492,-3828.8918605388,-3831.56787200156,-3833.97041286007,-3836.04705448737,-3837.74826012034,-3839.02870504657,-3839.84865400023,-3840.17537156391,-3839.9845106843,-3839.26139592502,-3838.0020977954,-3836.21418710105,-3833.9170662805,-3831.14179814496,-3827.93038895875,-3824.33452815228,-3820.41383579274,-3816.23371558529,-3811.86295033424,-3807.37120402689,-3802.82660676696,-3798.29359380942,-3793.83114761463,-3789.49155353062,-3785.31972863097,-3781.35312443002,-3777.62214423119,-3774.15096221011,-3770.95859133761
-3658.91941649411,-3655.01674563866,-3651.39459605998,-3648.08092838581,-3645.1884292812,-3642.89094854152,-3641.39038162873,-3640.88021640881,-3641.51211799923,-3643.37074310132,-3646.4598001306,-3650.69980190886,-3655.93567944929,-3661.95100658369,-3668.4852974372,-3675.25157420445,-3681.95272650616,-3688.29650822567,-3694.0098315849,-3698.85307583719,-3702.63452286512,-3705.2241264453,-3706.56507042196,-3706.68131975917,-3705.67971966992,-3703.74599279751,-3701.13490132708,-3698.15555646169,-3695.15319067991,-3692.48868347719,-3690.51694037285,-3689.56510913884,-3689.91173325255,-3691.7682752329,-3695.26480340568,-3700.44174733927,-3707.24925326504,-3715.55473419055,-3725.15784891444,-3735.81068626023,-3747.239788826,-3759.16618904201,-3771.3200437726,-3783.44769858004,-3795.31081338748,-3806.67910432187,-3817.31982957385,-3826.98798521055,-3835.42108107818,-3842.34136936843,-3847.46674492047,-3850.529615823,-3851.30128613292,-3849.61816844391,-3845.40567824352,-3838.69599486949,-3829.63686476526,-3818.48999833092,-3805.61904727769,-3791.46836294155,-3776.53456696955,-3761.33341033035,-3746.36458124043,-3732.0772214678,-3718.83903854474,-3706.91203338452,-3696.43782185874,-3687.43506061318,-3679.81039173313,-3673.3825834436,-3667.91740272901,-3663.16866569003
-3511.14516755581,-3510.86282711392,-3507.33732861996,-3501.06243929881,-3493.12114447303,-3484.96655322053,-3478.13878263062,-3473.97928793737,-3473.40473843407,-3476.78754451824,-3483.96176704671,-3494.33849631966,-3507.08465268891,-3521.30432161799,-3536.16821270902,-3550.96247054863,-3565.06267129196,-3577.86826591945,-3588.74513710701,-3597.01512864666,-3602.00657956459,-3603.15093893869,-3600.09033948462,-3592.75760569339,-3581.4035024902,-3566.56859603635,-3549.0179460072,-3529.66679079499,-3509.52102011471,-3489.64104139633,-3471.1199326416,-3455.05552000972,-3442.49672976881,-3434.35692913923,-3431.30527560046,-3433.66301796207,-3441.33804520877,-3453.82466433788,-3470.27859764747,-3489.65546276089,-3510.88191968683,-3533.01838642376,-3555.37377618783,-3577.54539861469,-3599.37710271217,-3620.85017401035,-3641.93853743709,-3662.4680653626,-3682.01751225852,-3699.88704421557,-3715.14311998821,-3726.73029737809,-3733.62572876023,-3735.00368840052,-3730.37678010264,-3719.68724652968,-3703.33432833239,-3682.1388183448,-3657.25966313528,-3630.08537986799,-3602.12238278697,-3574.89346163423,-3549.84686316867,-3528.26641107086,-3511.17191242319,-3499.20868862877,-3492.54156570122,-3490.78371933429,-3492.99557224958,-3497.7787669042,-3503.46708558538,-3508.38797267043
-3261.13129166714,-3260.74519568737,-3249.21039652097,-3228.83005329213,-3203.75274713826,-3179.13406969834,-3160.0652070831,-3150.4855178569,-3152.34101770251,-3165.23648574721,-3186.71902242457,-3213.13340957143,-3240.77305023358,-3266.91716637247,-3290.37518957412,-3311.35789509513,-3330.77938239594,-3349.33292147081,-3366.7644774252,-3381.65572308208,-3391.78287423347,-3394.8587267845,-3389.31167233572,-3374.76864818213,-3352.06933534,-3322.86208670997,-3289.01269511654,-3252.11748322993,-3213.33427889406,-3173.57377979803,-3133.91365072783,-3095.99136525887,-3062.14376022667,-3035.17962973175,-3017.8374189373,-3012.11763449726,-3018.732698415,-3036.87158292677,-3064.36099163274,-3098.17045717611,-3135.10439433064,-3172.47855424983,-3208.59604217517,-3242.90579786416,-3275.82143814318,-3308.27411210531,-3341.14339457388,-3374.73541487247,-3408.45143248263,-3440.7250609647,-3469.22804183344,-3491.2795983032,-3504.35765907061,-3506.60029375003,-3497.19291364556,-3476.55580874835,-3446.28202186935,-3408.83433225719,-3367.08596696908,-3323.85423393099,-3281.58907142802,-3242.31382081163,-3207.78878670433,-3179.73943830543,-3159.9364211894,-3149.97871308416,-3150.79325193967,-3162.04173751717,-3181.71943256157,-3206.18577517188,-3230.70318770251,-3250.36209053808
-2810.71128559989,-2797.55748066827,-2764.81448783533,-2718.19196093347,-2666.62839332264,-2620.83225132478,-2591.3355056757,-2586.0944590703,-2608.12559764329,-2654.11855685193,-2714.96325734822,-2778.46127229868,-2833.42551881733,-2873.51526206051,-2899.07504580804,-2916.09060815745,-2932.73674045721,-2955.14656504718,-2984.36571866236,-3015.81746982835,-3041.36495174671,-3052.86227754777,-3045.50048566115,-3019.48903303957,-2979.47977131428,-2932.19135472053,-2883.45157313594,-2836.03810227959,-2789.23761489376,-2740.20127744033,-2686.34846760324,-2627.63364935984,-2567.6229206651,-2512.93001171466,-2471.31934795203,-2449.32855694788,-2450.36803915151,-2473.93887312952,-2516.09173906114,-2570.79722303984,-2631.67555452403,-2693.54504401423,-2753.39715813892,-2810.60061229597,-2866.34235427724,-2922.52174634734,-2980.48524428895,-3040.04177422583,-3099.0764807236,-3153.82230400789,-3199.5929884403,-3231.67300120191,-3246.13835765157,-3240.54368575275,-3214.49126961787,-3170.01623603568,-3111.56488261139,-3045.30920657911,-2977.772765742,-2914.17288940423,-2857.22873081709,-2807.12821760896,-2762.79774792065,-2723.84032030412,-2691.99548054146,-2671.12465222884,-2665.528890969,-2677.40361769526,-2704.80058025164,-2741.23448796495,-2777.19156114888,-2802.83246889169
-2142.61170528579,-2103.79360364546,-2045.10311229946,-1975.77381864013,-1906.48807541281,-1849.81853676465,-1820.27638109727,-1831.59356969586,-1891.09326111764,-1993.9727860725,-2121.67295417408,-2246.88981079511,-2343.94667223678,-2399.6262775716,-2418.65585597005,-2420.63438452329,-2429.79712418039,-2462.84834883307,-2520.94340594666,-2589.4735782457,-2645.2147589142,-2666.9553440751,-2644.52142187385,-2582.37234631617,-2496.69713648403,-2407.82184657711,-2331.57465375122,-2273.43161034599,-2227.81513386063,-2182.49496974121,-2125.72677784512,-2052.63264557105,-1967.91933969344,-1884.00851971313,-1815.9402506887,-1775.78083679546,-1769.06864332472,-1794.37588276775,-1845.37142605055,-1913.84712640452,-1992.33402775833,-2075.70225133124,-2161.7550528768,-2250.94498535767,-2345.22764273366,-2446.19958456777,-2553.13232351033,-2661.87481956702,-2765.333627721,-2855.34235135181,-2924.82367848558,-2968.98905566311,-2985.12837089435,-2971.72664004107,-2928.23226225562,-2856.21311629546,-2761.22190134088,-2653.5641811869,-2546.39318751413,-2451.27801810935,-2373.51444434855,-2310.31182563034,-2253.6170149055,-2196.35112085324,-2138.24593767565,-2087.28531674878,-2055.4089256608,-2050.94449516208,-2072.52509854492,-2108.33463490818,-2141.03421662183,-2155.15756318663
-1345.83370032502,-1274.43026828603,-1201.37154804831,-1136.71327349468,-1081.77400963233,-1038.22614742821,-1017.91703661048,-1043.48174737074,-1136.64354171566,-1300.97001413634,-1511.51206321921,-1720.6443466433,-1879.11666830629,-1960.74230138428,-1975.80254686443,-1964.72845997615,-1975.59731263117,-2038.39883268188,-2150.02868129732,-2276.81178191962,-2371.456919613,-2394.76278988426,-2331.82949673277,-2196.64369363795,-2024.56231287969,-1856.91281799175,-1724.50813902859,-1636.93638511776,-1581.94071021202,-1534.69115668995,-1472.07361428736,-1384.70111378253,-1280.74683818399,-1180.34033296871,-1104.52652966464,-1065.48329375143,-1063.18409240883,-1089.11226476758,-1133.24443931802,-1189.35509980941,-1256.17479973193,-1335.55966142906,-1430.43228591856,-1543.8827497575,-1678.47018337139,-1834.20475813831,-2005.55864864448,-2180.03825974488,-2340.71169588054,-2472.22991273802,-2566.67241305587,-2624.96452011183,-2652.54026878541,-2652.31744140486,-2620.5090978792,-2549.16846557907,-2434.4411020439,-2284.66319376478,-2121.46646773792,-1971.31585996161,-1851.9543518913,-1762.96257168055,-1687.90348517249,-1607.66988655934,-1516.06940547167,-1426.13326999726,-1361.81722912675,-1340.53976028628,-1359.15732311923,-1393.71750083155,-1413.20151359699,-1397.29653869936
-529.259293085255,-427.275691061892,-362.378135597508,-340.524843484571,-339.711734366429,-335.525113867887,-329.340903158445,-356.494903429935,-465.805414346891,-682.837162698153,-982.796916056803,-1294.57317164447,-1536.75537349755,-1663.5300296683,-1690.23490257858,-1681.75598267381,-1712.08024990215,-1821.44468818518,-1996.25088970544,-2179.59803424199,-2301.52244251798,-2310.39363915747,-2191.7284947976,-1970.26659824085,-1698.03348082359,-1433.96358803177,-1222.11592999598,-1076.68790745293,-980.739939314866,-899.843988219975,-803.783975670638,-684.242361984361,-558.302101745328,-456.095766022801,-400.912813616742,-394.951172721194,-419.938852848252,-451.263341563841,-474.611327660648,-493.114704857493,-521.58967058378,-575.098899246135,-662.154462645529,-786.102007551119,-949.071845288796,-1150.94358148347,-1382.72610991294,-1621.80123841896,-1836.7709528963,-2001.43709742907,-2108.46679906346,-2171.89587048668,-2215.20046680226,-2252.26297519775,-2274.33447443554,-2252.99070636503,-2158.84350738814,-1984.61046224862,-1756.47063124954,-1523.8053474116,-1331.97236859443,-1196.17801268617,-1095.88983995444,-995.251137167856,-874.758627141971,-749.234580950404,-656.796594553074,-626.765834823542,-652.335864643741,-690.753568069398,-691.698985135241,-631.870362831192
260.226427935297,373.983661069447,408.13927037426,365.175708498631,292.577348575462,241.40803917349,221.570293095836,186.12722688503,58.7347916728468,-210.846997782588,-600.887590551574,-1017.55302913469,-1346.45119841746,-1522.54214691193,-1568.51704337524,-1574.15429108962,-1633.57366708634,-1786.72076488566,-2002.60313307875,-2206.19039102789,-2321.50117508759,-2302.22235421682,-2140.91644443217,-1864.66228692728,-1525.41395386061,-1185.33484610208,-895.963701942877,-678.12694200757,-515.688243858982,-370.318570009287,-209.797211174155,-31.6422286657034,133.928122385929,244.27632364165,274.755533021322,238.121402117715,177.867537901911,138.85934026778,137.059137847653,152.045205870003,146.865246748086,95.7028121704643,-5.47064038025565,-150.744247129187,-340.404815535003,-580.433496703481,-864.992729508376,-1162.24687003446,-1422.31635721255,-1604.70239672641,-1703.62151807145,-1750.86150860702,-1793.51026673507,-1861.48704939158,-1945.17437416984,-1996.69237849084,-1955.62564352743,-1786.57470754295,-1506.65484129763,-1182.82833831571,-895.861693562794,-692.369348429667,-559.793176907813,-445.514094006125,-306.51739066522,-148.486685536802,-19.9458193554601,34.178722837707,18.2706654054637,-10.5850770075922,14.4197249822901,117.174074303039
1034.05009031025,1119.96351285899,1107.52082626702,1008.14877716167,874.56434830642,760.388368056942,679.48896263889,588.499810160691,408.220678381913,79.9145659391652,-377.700572985603,-859.244774562219,-1231.29785079238,-1421.45258937503,-1466.92374395905,-1481.15417737298,-1566.62965997582,-1746.4294646612,-1964.0352962912,-2136.60297542391,-2206.38448182581,-2153.12995948625,-1978.30843201009,-1694.72594938791,-1333.74234795044,-950.402232805587,-605.470567940327,-332.209535159927,-117.794751051639,81.5530812809593,302.904165247543,545.516230544628,767.961019953567,914.638694275025,954.875684845028,908.655563045584,837.340792610921,800.464224145893,810.290420987323,824.486570631678,785.589072310599,669.591160071082,495.673614287982,291.098270476738,54.8393429582065,-236.430968014844,-586.476109541312,-950.391886613652,-1253.50471180366,-1442.20887204615,-1519.66652153531,-1538.04477381514,-1560.1371486561,-1622.42435065308,-1718.52133129854,-1802.18406415376,-1804.83870029688,-1666.93373629783,-1375.98083179313,-987.67356695357,-604.403103128308,-314.36526666017,-134.266503819585,-6.21070401338511,143.86548419678,337.177188842034,526.871471431659,650.067956803541,694.25948737227,712.044205449929,771.682326388924,893.926789551682
